age,job,marital,education,default,balance,housing,loan,pdays,previous,poutcome,result
47,admin.,married,secondary,no,26,no,yes,-1,0,unknown,fail
53,management,married,tertiary,no,-388,yes,no,356,1,other,fail
34,technician,single,tertiary,no,449,no,no,-1,0,unknown,fail
37,technician,married,secondary,no,1328,yes,no,-1,0,unknown,fail
33,management,married,tertiary,no,137,yes,yes,-1,0,unknown,fail
34,services,divorced,secondary,no,991,yes,no,344,1,failure,fail
33,admin.,married,unknown,no,664,no,no,-1,0,unknown,fail
42,admin.,married,secondary,no,1030,no,no,-1,0,unknown,fail
35,technician,single,secondary,no,5731,yes,no,167,4,other,fail
33,admin.,married,secondary,no,7,yes,no,-1,0,unknown,fail
36,blue-collar,married,secondary,no,3935,yes,yes,-1,0,unknown,fail
26,management,married,primary,no,1349,yes,no,-1,0,unknown,fail
37,admin.,divorced,secondary,no,1573,yes,no,326,10,failure,fail
39,blue-collar,married,primary,no,245,yes,no,-1,0,unknown,fail
50,blue-collar,married,primary,no,565,yes,yes,-1,0,unknown,fail
60,retired,divorced,secondary,no,4243,no,no,-1,0,unknown,success
57,blue-collar,married,primary,no,137,no,yes,-1,0,unknown,fail
32,admin.,single,secondary,no,642,yes,no,-1,0,unknown,fail
36,admin.,single,tertiary,no,2317,yes,no,-1,0,unknown,fail
52,technician,married,tertiary,no,2506,no,no,228,3,failure,fail
35,entrepreneur,single,tertiary,no,1295,yes,no,73,1,failure,fail
53,blue-collar,married,secondary,no,-76,no,no,164,4,other,fail
33,admin.,married,tertiary,no,55,yes,no,-1,0,unknown,fail
40,entrepreneur,married,secondary,no,6403,no,no,-1,0,unknown,success
39,self-employed,divorced,secondary,no,0,yes,no,-1,0,unknown,fail
25,technician,single,tertiary,no,1693,no,no,-1,0,unknown,fail
41,admin.,single,secondary,no,-109,yes,yes,370,1,failure,success
42,management,married,secondary,no,406,yes,no,391,2,success,fail
40,management,married,tertiary,no,409,no,no,-1,0,unknown,fail
41,blue-collar,married,secondary,no,629,,yes,-1,0,unknown,fail
28,unemployed,single,secondary,no,304,no,no,-1,0,unknown,fail
40,housemaid,married,primary,no,746,no,no,-1,0,unknown,fail
33,management,single,tertiary,no,12,no,no,-1,0,unknown,fail
32,management,single,tertiary,no,2515,no,yes,-1,0,unknown,fail
36,technician,married,tertiary,no,473,no,no,-1,0,unknown,fail
28,blue-collar,single,primary,no,150,no,yes,-1,0,unknown,fail
42,entrepreneur,married,primary,no,198,yes,no,-1,0,unknown,fail
52,management,married,tertiary,no,2635,no,no,108,8,success,fail
34,technician,married,secondary,no,2959,no,no,-1,0,unknown,fail
31,technician,single,secondary,no,622,no,no,-1,0,unknown,fail
56,management,married,tertiary,no,96,yes,yes,-1,0,unknown,fail
29,admin.,married,primary,no,624,yes,no,-1,0,unknown,fail
47,admin.,married,secondary,no,290,yes,no,-1,0,unknown,success
45,management,married,secondary,no,446,no,no,-1,0,unknown,success
25,technician,single,secondary,no,218,no,yes,-1,0,unknown,fail
45,unknown,married,unknown,no,356,no,no,-1,0,unknown,fail
31,services,married,secondary,yes,29,no,no,-1,0,,fail
34,blue-collar,married,primary,no,6718,no,no,97,1,other,fail
32,blue-collar,single,secondary,no,799,no,yes,-1,0,unknown,success
48,management,married,tertiary,no,0,no,no,-1,0,unknown,fail
52,self-employed,married,tertiary,no,5350,yes,yes,110,4,success,fail
53,housemaid,married,tertiary,no,2353,yes,no,-1,0,unknown,fail
34,technician,married,secondary,no,508,no,no,-1,0,unknown,fail
32,management,married,tertiary,no,944,yes,yes,-1,0,unknown,fail
40,technician,single,secondary,no,5637,yes,no,-1,0,unknown,success
36,blue-collar,married,secondary,no,-9,yes,no,-1,0,unknown,fail
39,entrepreneur,married,secondary,no,2139,yes,no,371,1,failure,success
58,services,divorced,secondary,no,796,no,no,-1,0,unknown,fail
58,services,married,secondary,no,8136,yes,no,-1,0,unknown,fail
32,blue-collar,married,primary,no,-89,yes,no,-1,0,unknown,fail
32,technician,married,secondary,no,3095,no,no,-1,0,unknown,fail
36,management,married,tertiary,no,618,no,no,-1,0,unknown,fail
43,management,married,secondary,no,2115,yes,no,-1,0,unknown,fail
36,admin.,single,secondary,no,587,yes,no,-1,0,unknown,fail
51,blue-collar,divorced,primary,no,0,yes,no,-1,0,unknown,fail
38,housemaid,divorced,tertiary,no,4312,no,no,182,2,other,fail
33,blue-collar,single,secondary,no,0,no,no,-1,0,unknown,fail
46,admin.,married,secondary,no,1437,yes,no,-1,0,unknown,fail
45,entrepreneur,married,tertiary,no,98,no,no,-1,0,unknown,fail
30,blue-collar,married,secondary,no,-166,yes,yes,-1,0,unknown,fail
70,retired,married,secondary,no,1164,no,no,-1,0,unknown,fail
35,admin.,married,secondary,no,1476,no,no,-1,0,unknown,fail
30,management,single,tertiary,no,940,no,no,-1,0,unknown,fail
27,unemployed,single,secondary,no,3276,no,no,110,2,other,fail
32,self-employed,married,secondary,no,514,yes,no,-1,0,unknown,success
36,technician,single,tertiary,no,251,yes,no,-1,0,unknown,fail
48,blue-collar,married,secondary,no,684,yes,yes,-1,0,unknown,fail
39,blue-collar,married,unknown,no,18,no,no,-1,0,unknown,fail
28,services,single,secondary,no,113,yes,yes,-1,0,unknown,fail
55,retired,married,tertiary,no,357,yes,no,-1,0,unknown,fail
30,management,married,tertiary,no,1384,yes,no,-1,0,unknown,fail
31,blue-collar,married,secondary,no,125,yes,no,350,2,failure,fail
60,retired,married,secondary,no,8332,no,no,194,7,other,success
32,services,single,secondary,no,2881,no,no,-1,0,unknown,success
49,technician,married,primary,no,1878,yes,no,,0,unknown,fail
31,technician,married,secondary,no,510,yes,no,-1,0,unknown,fail
38,blue-collar,married,secondary,no,638,yes,no,-1,0,unknown,fail
59,admin.,married,tertiary,no,349,no,no,-1,0,unknown,fail
59,housemaid,married,secondary,no,0,no,no,81,3,failure,fail
31,management,married,tertiary,no,3,no,no,-1,0,unknown,fail
40,management,married,tertiary,no,1041,yes,no,-1,0,unknown,fail
54,management,married,tertiary,no,-1415,yes,yes,-1,0,unknown,fail
37,admin.,married,secondary,no,1110,yes,no,-1,0,unknown,success
33,blue-collar,married,secondary,no,89,yes,no,-1,0,unknown,success
33,blue-collar,married,primary,no,211,yes,no,-1,0,unknown,fail
53,services,married,secondary,no,1194,no,no,-1,0,unknown,fail
40,management,married,secondary,no,752,no,yes,157,1,failure,fail
60,housemaid,divorced,secondary,no,2063,no,no,-1,0,unknown,fail
24,blue-collar,single,primary,no,1033,yes,no,-1,0,unknown,fail
31,services,single,secondary,no,1510,yes,no,176,1,failure,fail
34,management,married,tertiary,no,1262,no,no,-1,0,unknown,fail
51,technician,married,secondary,no,-379,yes,no,-1,0,unknown,fail
36,unemployed,married,secondary,no,1453,no,no,-1,0,unknown,fail
50,management,married,tertiary,no,230,no,yes,-1,0,unknown,fail
37,management,married,tertiary,no,238,no,no,92,1,success,success
30,technician,single,secondary,no,298,yes,no,-1,0,unknown,fail
43,entrepreneur,married,secondary,no,1516,yes,no,-1,0,unknown,fail
42,management,married,tertiary,no,6060,yes,no,350,2,failure,success
33,technician,single,tertiary,no,49,no,no,-1,0,unknown,fail
61,retired,married,secondary,no,76,yes,no,-1,0,unknown,fail
28,admin.,single,secondary,no,296,yes,no,-1,0,unknown,fail
36,management,single,tertiary,no,832,yes,no,-1,0,unknown,fail
36,admin.,married,secondary,no,234,yes,no,-1,0,unknown,fail
30,management,single,tertiary,no,317,no,no,-1,0,unknown,fail
51,technician,married,secondary,no,-491,yes,yes,-1,0,unknown,fail
49,blue-collar,married,secondary,no,2631,yes,no,-1,0,unknown,fail
30,management,single,tertiary,no,2317,yes,no,-1,0,unknown,fail
35,technician,married,secondary,no,2779,no,no,186,2,success,success
59,retired,married,secondary,no,1035,yes,yes,-1,0,unknown,fail
45,blue-collar,married,primary,no,305,,no,-1,0,unknown,fail
58,management,married,tertiary,no,44,yes,no,-1,0,unknown,fail
46,technician,married,secondary,no,1307,yes,no,-1,0,unknown,fail
33,admin.,single,secondary,no,1834,yes,no,-1,0,unknown,fail
40,blue-collar,divorced,secondary,no,-244,yes,no,-1,0,unknown,fail
44,management,divorced,tertiary,no,0,yes,yes,-1,0,unknown,fail
56,admin.,married,secondary,no,51,yes,yes,-1,0,unknown,fail
27,entrepreneur,married,secondary,no,97,yes,yes,-1,0,unknown,fail
38,blue-collar,married,unknown,no,5,yes,no,-1,0,unknown,fail
44,blue-collar,married,primary,no,12,yes,no,-1,0,unknown,fail
32,management,single,tertiary,no,4582,yes,no,-1,0,unknown,fail
33,services,married,secondary,no,1697,no,no,182,1,success,success
50,blue-collar,married,primary,no,216,yes,no,-1,0,unknown,fail
27,admin.,married,secondary,no,133,yes,yes,-1,0,unknown,fail
57,unemployed,divorced,secondary,no,2762,no,no,-1,0,unknown,fail
36,admin.,married,secondary,no,114,yes,yes,-1,0,unknown,fail
25,admin.,single,secondary,no,0,yes,no,-1,0,unknown,fail
31,blue-collar,married,secondary,no,812,yes,no,-1,0,unknown,fail
30,management,single,tertiary,no,0,no,no,-1,0,unknown,fail
47,technician,married,secondary,no,1167,yes,no,87,5,failure,success
26,admin.,single,primary,no,528,yes,yes,-1,0,unknown,fail
43,admin.,married,secondary,no,1220,yes,no,339,1,other,fail
35,management,single,tertiary,no,3137,yes,no,-1,0,unknown,fail
36,admin.,divorced,secondary,no,0,yes,no,-1,0,unknown,fail
32,self-employed,married,secondary,no,-33,yes,no,-1,0,unknown,fail
25,blue-collar,married,secondary,no,53,yes,no,-1,0,unknown,fail
38,management,married,tertiary,no,4174,no,no,184,5,failure,success
32,management,married,tertiary,yes,2,no,no,-1,0,unknown,fail
44,management,married,unknown,no,282,no,no,154,3,success,success
33,management,married,tertiary,no,0,yes,no,-1,0,unknown,fail
69,retired,married,secondary,no,0,no,no,-1,0,unknown,success
31,technician,married,secondary,no,180,no,no,-1,0,unknown,success
30,management,single,secondary,no,-62,no,yes,-1,0,unknown,fail
40,blue-collar,married,primary,no,-616,yes,no,-1,0,unknown,fail
40,entrepreneur,married,secondary,no,264,yes,no,-1,0,unknown,fail
31,technician,single,secondary,no,2544,no,no,184,3,success,success
54,management,single,tertiary,no,0,yes,no,-1,0,unknown,fail
32,management,single,tertiary,no,1,no,no,-1,0,unknown,fail
30,management,single,tertiary,no,638,yes,no,291,6,other,fail
33,self-employed,single,tertiary,no,61,no,no,-1,0,unknown,success
54,technician,married,secondary,no,369,no,no,-1,0,unknown,fail
44,management,married,tertiary,no,5282,yes,no,-1,0,unknown,fail
56,management,married,tertiary,no,73,yes,no,368,2,failure,fail
37,entrepreneur,married,tertiary,no,189,no,no,-1,0,unknown,success
57,technician,married,secondary,no,3240,yes,no,-1,0,unknown,fail
55,housemaid,married,primary,no,1642,no,no,-1,0,unknown,fail
36,technician,married,secondary,no,0,no,no,-1,0,unknown,fail
39,entrepreneur,married,secondary,no,580,yes,no,-1,0,unknown,fail
52,unemployed,divorced,secondary,no,230,no,no,-1,0,unknown,success
41,management,married,tertiary,no,3348,no,no,-1,0,unknown,fail
28,blue-collar,married,secondary,no,1238,yes,no,-1,0,unknown,fail
37,technician,married,secondary,no,0,yes,no,149,1,other,fail
41,management,married,tertiary,no,103,no,yes,-1,0,unknown,fail
47,blue-collar,married,primary,no,85,no,no,-1,0,unknown,fail
28,blue-collar,single,primary,no,0,yes,yes,-1,0,unknown,fail
41,entrepreneur,married,tertiary,no,373,no,no,-1,0,unknown,fail
53,unemployed,married,secondary,no,329,yes,no,-1,0,unknown,fail
25,student,married,tertiary,no,10,yes,no,-1,0,unknown,success
53,blue-collar,married,secondary,no,913,yes,no,288,1,failure,fail
30,services,married,secondary,no,-27,yes,no,-1,0,unknown,fail
56,blue-collar,married,primary,no,397,yes,no,-1,0,unknown,fail
53,management,married,tertiary,no,800,no,no,-1,0,unknown,fail
36,blue-collar,single,primary,no,367,no,no,-1,0,unknown,fail
29,admin.,single,secondary,no,130,no,no,-1,0,unknown,fail
31,services,married,secondary,no,525,yes,yes,-1,0,unknown,fail
37,technician,married,secondary,no,77,yes,yes,-1,0,unknown,fail
34,admin.,single,secondary,no,239,no,no,-1,0,unknown,fail
60,unemployed,divorced,secondary,no,385,yes,no,-1,0,unknown,fail
38,technician,married,secondary,no,257,no,no,-1,0,unknown,fail
36,self-employed,married,tertiary,no,506,no,no,92,3,success,fail
40,management,single,tertiary,no,759,yes,no,266,5,failure,fail
38,blue-collar,married,primary,no,-41,yes,no,-1,0,unknown,fail
36,blue-collar,married,secondary,no,426,yes,no,-1,0,unknown,fail
32,management,single,secondary,no,388,no,no,-1,0,unknown,fail
37,technician,married,secondary,no,494,yes,no,269,3,failure,fail
49,admin.,married,secondary,no,209,no,no,-1,0,unknown,fail
47,blue-collar,married,primary,no,2466,yes,no,-1,0,unknown,fail
54,blue-collar,married,primary,no,258,no,no,88,1,failure,fail
56,management,married,tertiary,no,0,no,no,-1,0,unknown,fail
34,housemaid,married,tertiary,no,897,no,no,-1,0,unknown,fail
34,technician,divorced,secondary,no,705,yes,yes,-1,0,unknown,fail
44,management,single,tertiary,no,-1313,yes,yes,-1,0,unknown,fail
58,admin.,married,secondary,no,2160,yes,yes,-1,0,unknown,success
49,admin.,divorced,secondary,no,190,yes,no,-1,0,unknown,fail
34,management,single,tertiary,no,-578,yes,no,-1,0,unknown,success
56,blue-collar,divorced,primary,yes,-1,no,no,-1,0,unknown,fail
36,management,single,tertiary,no,2163,no,no,-1,0,unknown,fail
35,blue-collar,married,unknown,no,444,no,no,-1,0,unknown,fail
32,technician,single,secondary,no,-28,no,yes,-1,0,unknown,fail
59,management,divorced,tertiary,no,258,yes,no,-1,0,unknown,success
49,blue-collar,married,secondary,no,119,yes,no,-1,0,unknown,fail
61,retired,married,secondary,no,0,no,no,-1,0,unknown,fail
55,blue-collar,divorced,primary,no,39,yes,no,-1,0,unknown,fail
48,blue-collar,married,primary,no,72,yes,no,-1,0,unknown,fail
27,management,single,secondary,no,145,yes,no,89,3,failure,fail
35,technician,single,unknown,no,1342,yes,no,-1,0,unknown,fail
37,services,single,secondary,no,342,yes,no,273,1,failure,fail
26,student,single,tertiary,no,0,no,no,-1,0,unknown,fail
32,management,married,tertiary,no,0,yes,no,-1,0,unknown,fail
23,services,single,secondary,no,279,yes,no,370,1,failure,success
50,retired,divorced,secondary,no,4861,no,no,-1,0,unknown,fail
30,technician,single,tertiary,no,-970,no,yes,-1,0,unknown,fail
33,management,single,tertiary,no,1859,yes,no,-1,0,unknown,fail
35,technician,married,tertiary,no,0,yes,yes,363,2,failure,fail
30,entrepreneur,divorced,tertiary,no,1192,no,no,-1,0,unknown,fail
34,self-employed,single,tertiary,no,693,yes,no,-1,0,unknown,fail
32,blue-collar,married,secondary,no,3228,yes,no,-1,0,unknown,fail
30,management,married,tertiary,no,3330,no,no,-1,0,unknown,fail
44,services,married,secondary,no,-18,no,yes,-1,0,unknown,fail
41,management,divorced,tertiary,no,236,no,no,-1,0,unknown,fail
32,management,single,tertiary,no,0,no,no,-1,0,unknown,fail
48,blue-collar,married,primary,no,323,no,no,-1,0,,fail
34,services,single,secondary,no,267,no,no,-1,0,unknown,success
28,unemployed,married,secondary,no,-42,yes,yes,-1,0,unknown,fail
27,housemaid,single,primary,no,494,no,no,-1,0,unknown,fail
35,services,married,secondary,no,-315,yes,no,368,2,failure,fail
45,management,single,tertiary,no,2571,yes,no,-1,0,unknown,fail
51,services,married,primary,no,320,no,yes,-1,0,unknown,fail
55,blue-collar,married,secondary,no,89,yes,no,-1,0,unknown,fail
35,technician,married,secondary,no,289,yes,no,-1,0,unknown,fail
36,blue-collar,married,secondary,no,873,yes,no,-1,0,unknown,fail
50,management,divorced,tertiary,no,0,no,no,-1,0,unknown,fail
35,management,married,tertiary,no,0,no,no,-1,0,unknown,fail
58,unemployed,married,tertiary,no,1798,yes,no,-1,0,unknown,fail
57,retired,married,secondary,no,81,no,no,-1,0,unknown,fail
40,blue-collar,divorced,secondary,no,181,no,no,-1,0,unknown,fail
46,blue-collar,married,secondary,no,1728,yes,no,-1,0,unknown,fail
40,management,married,tertiary,no,713,no,no,-1,0,unknown,fail
48,entrepreneur,single,secondary,no,315,no,no,-1,0,unknown,success
47,technician,divorced,tertiary,no,8422,no,no,-1,0,unknown,fail
39,self-employed,single,tertiary,no,2298,yes,yes,319,18,other,fail
28,admin.,married,secondary,no,22,yes,yes,-1,0,unknown,fail
33,management,single,tertiary,no,0,yes,no,-1,0,unknown,fail
30,technician,single,secondary,no,120,yes,no,-1,0,unknown,fail
32,blue-collar,single,secondary,no,1139,yes,no,191,1,failure,fail
34,services,single,secondary,no,258,yes,no,-1,0,unknown,fail
38,services,divorced,secondary,no,792,no,no,-1,0,unknown,fail
42,services,married,secondary,no,1048,yes,no,186,1,failure,fail
78,retired,married,primary,no,2735,no,no,-1,0,unknown,fail
45,management,married,tertiary,no,1033,yes,no,357,1,failure,fail
42,unemployed,married,tertiary,no,1270,yes,no,-1,0,unknown,fail
36,management,single,tertiary,no,3850,yes,no,-1,0,unknown,fail
61,retired,married,unknown,no,-492,no,yes,-1,0,unknown,fail
49,management,married,tertiary,no,-470,yes,no,-1,0,unknown,fail
33,self-employed,married,tertiary,no,-103,yes,no,-1,0,unknown,fail
31,blue-collar,married,secondary,no,9714,yes,no,-1,0,unknown,fail
37,management,married,tertiary,,708,yes,no,225,3,failure,fail
33,technician,married,secondary,no,832,yes,yes,-1,0,unknown,fail
25,technician,married,tertiary,no,400,no,no,-1,0,unknown,fail
31,blue-collar,married,secondary,no,2910,yes,no,-1,0,unknown,success
26,management,single,tertiary,no,1027,no,no,-1,0,unknown,success
57,unemployed,married,primary,no,5126,yes,no,-1,0,unknown,fail
58,retired,married,primary,no,701,no,no,-1,0,unknown,fail
27,services,single,secondary,no,2153,yes,no,-1,0,unknown,fail
31,blue-collar,single,tertiary,no,-701,yes,no,-1,0,unknown,fail
46,technician,married,secondary,no,2045,yes,no,-1,0,unknown,fail
47,admin.,divorced,secondary,no,2232,no,no,103,1,success,success
45,blue-collar,married,secondary,no,1335,yes,no,-1,0,unknown,fail
41,management,married,tertiary,no,2676,no,no,-1,0,unknown,fail
46,blue-collar,single,secondary,no,2612,yes,no,-1,0,unknown,fail
46,management,divorced,tertiary,no,302,no,no,-1,0,unknown,fail
30,technician,married,secondary,no,27,yes,no,-1,0,unknown,fail
30,technician,single,secondary,no,1165,no,no,183,3,success,success
33,management,married,tertiary,no,4636,no,no,-1,0,unknown,fail
61,self-employed,married,tertiary,no,4162,no,no,-1,0,unknown,fail
39,blue-collar,married,secondary,no,439,yes,no,-1,0,unknown,fail
32,management,married,tertiary,no,1331,no,no,92,5,failure,success
31,blue-collar,single,secondary,no,2089,yes,no,-1,0,unknown,fail
37,management,married,tertiary,no,1315,no,no,-1,0,unknown,success
28,services,single,secondary,no,229,yes,no,-1,0,unknown,fail
35,management,single,tertiary,no,250,no,no,-1,0,unknown,fail
43,technician,single,secondary,no,28,yes,no,-1,0,unknown,fail
37,blue-collar,married,secondary,no,223,yes,no,301,2,failure,fail
59,blue-collar,married,unknown,no,-278,yes,no,-1,0,unknown,fail
39,admin.,married,secondary,no,441,no,no,-1,0,unknown,fail
49,technician,divorced,secondary,no,2677,yes,yes,-1,0,unknown,fail
38,technician,married,secondary,no,0,yes,no,-1,0,unknown,fail
29,blue-collar,single,secondary,no,7531,no,no,-1,0,unknown,fail
31,management,single,tertiary,no,123,no,no,-1,0,unknown,fail
34,technician,single,secondary,no,232,no,no,-1,0,unknown,fail
54,blue-collar,,primary,no,2110,yes,no,-1,0,unknown,fail
34,technician,married,secondary,no,-346,yes,no,-1,0,unknown,fail
23,services,married,secondary,no,14,yes,yes,358,1,failure,fail
30,technician,single,secondary,no,1395,yes,no,354,1,failure,fail
37,management,married,tertiary,no,620,yes,no,-1,0,unknown,fail
26,management,single,tertiary,no,761,no,no,-1,0,unknown,fail
53,entrepreneur,married,tertiary,no,77,no,no,-1,0,unknown,fail
31,management,single,tertiary,no,2085,yes,no,-1,0,unknown,fail
58,retired,divorced,secondary,no,312,no,no,-1,0,unknown,fail
37,services,single,secondary,no,887,no,no,-1,0,,fail
58,management,married,tertiary,no,2142,yes,no,274,3,failure,fail
72,retired,married,secondary,no,1533,no,no,-1,0,,success
39,admin.,married,secondary,no,419,yes,yes,-1,0,unknown,fail
53,admin.,married,secondary,no,264,yes,no,-1,0,,fail
41,management,married,tertiary,no,1199,yes,no,-1,0,,fail
45,technician,married,secondary,no,366,no,yes,169,12,failure,fail
43,admin.,single,secondary,no,733,yes,no,-1,0,,success
36,management,married,tertiary,no,105,no,no,-1,0,,fail
31,technician,married,secondary,no,367,no,no,-1,0,,fail
71,retired,married,secondary,no,2850,no,no,-1,0,,success
32,management,single,tertiary,no,312,no,no,-1,0,,success
49,blue-collar,married,primary,no,0,yes,no,-1,0,,fail
34,technician,married,secondary,no,51,yes,no,-1,0,,fail
20,student,single,secondary,no,210,no,no,-1,0,,fail
24,admin.,single,tertiary,no,454,yes,no,-1,0,,fail
23,admin.,single,secondary,,0,yes,no,-1,0,unknown,fail
31,management,single,tertiary,no,518,yes,no,-1,0,unknown,fail
38,management,married,tertiary,no,-498,no,no,-1,0,unknown,fail
36,blue-collar,married,secondary,no,195,yes,yes,-1,0,unknown,fail
59,retired,married,secondary,no,3382,yes,no,-1,0,unknown,fail
28,services,single,secondary,no,1059,no,no,276,1,other,fail
32,technician,single,tertiary,no,932,yes,no,318,1,failure,success
52,unknown,married,primary,no,5521,no,no,-1,0,,fail
32,unemployed,married,secondary,no,869,yes,no,-1,0,unknown,fail
26,blue-collar,single,primary,no,1538,no,yes,-1,0,,fail
30,admin.,married,secondary,no,187,yes,no,170,1,failure,fail
60,technician,married,secondary,no,0,no,no,-1,0,unknown,fail
37,technician,married,secondary,no,-254,yes,yes,,0,unknown,fail
31,student,single,tertiary,no,307,no,no,-1,0,unknown,fail
44,management,divorced,tertiary,no,935,no,no,-1,0,unknown,fail
28,unemployed,single,tertiary,no,1010,yes,no,336,2,failure,fail
41,technician,single,secondary,no,-320,yes,no,-1,0,unknown,fail
60,entrepreneur,married,primary,no,83,yes,no,-1,0,unknown,fail
40,housemaid,single,tertiary,no,7441,no,no,-1,0,unknown,success
47,technician,married,tertiary,no,3690,no,no,-1,0,unknown,fail
39,technician,married,tertiary,no,4313,yes,no,-1,0,unknown,fail
31,blue-collar,married,secondary,no,29,no,no,-1,0,unknown,fail
38,admin.,single,secondary,no,2246,yes,no,-1,0,unknown,fail
50,technician,married,tertiary,no,92,no,yes,-1,0,unknown,fail
37,services,married,secondary,no,523,yes,no,-1,0,unknown,fail
35,technician,single,tertiary,no,632,no,no,-1,0,unknown,fail
48,blue-collar,married,secondary,no,1230,yes,no,196,2,success,success
38,blue-collar,divorced,secondary,no,226,yes,no,-1,0,unknown,fail
37,admin.,married,secondary,no,190,yes,no,-1,0,unknown,fail
60,blue-collar,married,secondary,no,751,yes,no,-1,0,unknown,fail
51,technician,divorced,unknown,no,1328,yes,no,251,1,failure,fail
29,technician,married,secondary,no,1599,yes,no,61,1,failure,fail
36,technician,married,secondary,no,6384,yes,yes,-1,0,unknown,fail
51,admin.,single,secondary,no,3132,no,no,176,1,failure,fail
31,self-employed,married,tertiary,no,0,yes,no,-1,0,unknown,fail
30,technician,single,secondary,no,158,no,no,-1,0,unknown,success
35,management,single,tertiary,no,1379,no,no,-1,0,unknown,fail
40,management,married,tertiary,no,3352,yes,no,27,1,success,success
40,blue-collar,single,secondary,no,677,yes,no,171,5,other,fail
38,technician,married,tertiary,no,-267,no,no,-1,0,unknown,fail
51,technician,married,secondary,no,195,yes,no,-1,0,unknown,fail
79,retired,divorced,primary,no,336,no,no,184,1,other,fail
45,admin.,married,tertiary,no,2552,no,no,293,7,failure,success
34,blue-collar,married,secondary,no,241,yes,yes,-1,0,unknown,fail
57,management,married,tertiary,no,-22,yes,no,-1,0,unknown,fail
25,services,married,secondary,no,77,yes,no,-1,0,unknown,fail
49,management,divorced,tertiary,yes,0,yes,no,-1,0,unknown,fail
40,services,married,secondary,no,-212,yes,yes,-1,0,unknown,fail
46,management,married,tertiary,no,385,yes,no,-1,0,unknown,fail
30,technician,married,tertiary,no,296,no,no,-1,0,unknown,fail
36,technician,married,tertiary,no,52,no,no,-1,0,unknown,fail
32,blue-collar,single,secondary,no,-578,no,no,-1,0,unknown,fail
47,admin.,married,unknown,no,989,no,no,-1,0,unknown,fail
42,self-employed,married,tertiary,no,10072,no,no,208,1,failure,fail
56,technician,married,secondary,no,4063,no,yes,-1,0,unknown,fail
32,technician,married,secondary,no,901,yes,no,-1,0,unknown,fail
27,technician,married,secondary,no,-428,no,no,-1,0,unknown,fail
48,technician,single,secondary,no,329,no,no,-1,0,unknown,fail
55,management,divorced,tertiary,no,2383,no,no,-1,0,unknown,success
78,retired,married,primary,no,14204,no,no,183,1,other,fail
41,management,single,tertiary,no,0,yes,no,-1,0,unknown,fail
34,admin.,single,primary,no,286,yes,no,-1,0,unknown,fail
34,admin.,married,secondary,no,96,no,no,-1,0,unknown,fail
53,self-employed,married,secondary,no,-488,yes,no,342,1,failure,fail
51,blue-collar,divorced,secondary,no,1524,yes,no,-1,0,unknown,fail
30,self-employed,single,tertiary,no,2593,no,no,-1,0,unknown,fail
38,services,married,secondary,no,0,yes,yes,304,2,failure,fail
35,services,married,secondary,no,0,no,yes,-1,0,unknown,fail
27,blue-collar,married,secondary,no,245,yes,no,344,2,failure,fail
39,blue-collar,married,primary,no,2715,yes,no,-1,0,unknown,fail
32,services,married,secondary,no,264,yes,yes,-1,0,unknown,success
60,blue-collar,married,primary,no,5798,yes,no,-1,0,unknown,fail
36,admin.,married,secondary,no,1601,yes,no,-1,0,unknown,fail
35,technician,married,secondary,yes,-29,yes,yes,-1,0,unknown,fail
30,blue-collar,married,secondary,no,2080,yes,no,-1,0,unknown,fail
39,management,married,secondary,no,6012,no,no,119,2,failure,fail
26,blue-collar,married,primary,no,133,no,yes,-1,0,,fail
38,self-employed,single,tertiary,no,1612,yes,no,-1,0,unknown,success
51,blue-collar,married,unknown,no,-19,yes,no,-1,0,unknown,fail
29,student,single,secondary,no,658,no,no,244,4,other,success
34,blue-collar,married,secondary,no,4,yes,yes,-1,0,unknown,fail
32,management,single,tertiary,no,643,no,no,-1,0,unknown,fail
36,admin.,single,secondary,no,1281,no,no,-1,0,unknown,fail
58,management,married,tertiary,no,4152,yes,no,-1,0,unknown,success
47,blue-collar,divorced,primary,no,126,yes,no,-1,0,unknown,success
37,services,married,secondary,no,580,yes,no,-1,0,unknown,fail
30,technician,married,tertiary,no,8351,no,no,-1,0,unknown,fail
39,technician,married,secondary,no,-709,yes,no,-1,0,unknown,fail
53,admin.,married,secondary,no,109,no,no,120,1,success,fail
38,blue-collar,single,secondary,no,-329,yes,no,-1,0,unknown,fail
41,admin.,married,secondary,no,2993,yes,no,-1,0,unknown,fail
53,blue-collar,married,primary,no,570,no,no,-1,0,unknown,fail
31,blue-collar,single,tertiary,no,462,yes,yes,-1,0,unknown,fail
28,blue-collar,single,secondary,no,643,no,no,-1,0,unknown,success
51,unemployed,married,secondary,no,2254,no,no,-1,0,unknown,fail
34,blue-collar,married,secondary,no,8309,yes,yes,-1,0,unknown,fail
30,blue-collar,married,secondary,no,365,no,no,-1,0,unknown,fail
45,blue-collar,married,primary,no,491,yes,yes,370,1,other,fail
66,retired,married,primary,no,206,no,no,-1,0,unknown,success
56,technician,married,secondary,no,225,yes,no,-1,0,unknown,fail
27,student,,secondary,no,111,no,no,-1,0,unknown,success
62,retired,married,secondary,no,569,no,no,180,6,success,success
37,technician,single,secondary,no,255,no,no,-1,0,unknown,fail
34,technician,single,tertiary,no,2658,yes,no,230,2,failure,fail
